variant,platform,coverage,validity
no input,C,127904,"44,16"
user input,C,137594,"34,33"
autoprompt,C,183322,"39,38"
no example,C,142280,"35,4"
Fuzz4All,C,186198,"41,66"
no input,C++,181095,"51,71"
user input,C++,188550,"34,59"
autoprompt,C++,191197,"36,89"
no example,C++,190642,"29,06"
Fuzz4All,C++,193591,"42,19"
no input,SMT,49441,"46,45"
user input,SMT,49559,"40,19"
autoprompt,SMT,51245,"49,58"
no example,SMT,49839,"16,42"
Fuzz4All,SMT,52811,"48,68"
no input,GO,35570,"43,61"
user input,GO,36586,"17,22"
autoprompt,GO,36771,"31,13"
no example,GO,35606,"29,29"
Fuzz4All,GO,37458,"30,43"
no input,Java,14264,"61,75"
user input,Java,15247,"40,39"
autoprompt,Java,15498,"48,63"
no example,Java,15128,"48,91"
Fuzz4All,Java,16128,"49,48"
no input,Qiskit,31701,"34,63"
user input,Qiskit,31922,"22,74"
autoprompt,Qiskit,32850,"29,12"
no example,Qiskit,32909,"24,04"
Fuzz4All,Qiskit,33941,"27,45"
